property_type,state,region,lat,lon,area_m2,price_usd
apartment,Rio Grande do Norte,Northeast,-5.816717,-35.201107,166,183655.492
apartment,Rio Grande do Norte,Northeast,-5.816717,-35.201107,142,169681.706
apartment,Rio Grande do Norte,Northeast,-5.864764,-35.190559,141,135745.358
apartment,Rio Grande do Norte,Northeast,-5.824264,-35.210854,81,77454.706
apartment,Rio Grande do Norte,Northeast,-5.824264,-35.210854,119,101609.394
apartment,Rio Grande do Norte,Northeast,-5.816746,-35.216221,86,90230.74
apartment,Rio Grande do Norte,Northeast,-5.816746,-35.216221,101,105801.53000000001
apartment,Rio Grande do Norte,Northeast,-5.866949,-35.23719,89,59887.65600000001
apartment,Rio Grande do Norte,Northeast,-5.824444,-35.218132,99,91772.446
apartment,Rio Grande do Norte,Northeast,-5.812777,-35.221756,91,111660.54
apartment,Rio Grande do Norte,Northeast,-5.818406,-35.208733,136,149918.77800000002
apartment,Rio Grande do Norte,Northeast,-5.862752,-35.199493,67,63880.168000000005
house,Rio Grande do Norte,Northeast,-5.126,-35.640933,180,115782.80600000001
apartment,Rio Grande do Norte,Northeast,-5.887895,-35.203171,83,61883.914000000004
apartment,Rio Grande do Norte,Northeast,-5.887895,-35.203171,77,57891.402
apartment,Rio Grande do Norte,Northeast,-5.887895,-35.203171,77,51902.638000000006
apartment,Rio Grande do Norte,Northeast,-5.887895,-35.203171,68,53898.89200000001
apartment,Rio Grande do Norte,Northeast,-5.889468,-35.173622,98,63880.168000000005
apartment,Rio Grande do Norte,Northeast,-5.889468,-35.173622,58,67872.678
apartment,Rio Grande do Norte,Northeast,-5.874449,-35.179714,53,51902.638000000006
apartment,Rio Grande do Norte,Northeast,-5.823246445,-35.20947696,119,104977.718
house,Rio Grande do Norte,Northeast,-5.866949,-35.23719,195,133749.106
house,Rio Grande do Norte,Northeast,-5.892727,-35.205231,152,91827.74200000001
house,Rio Grande do Norte,Northeast,-5.917292,-35.217594,154,89831.49
house,Rio Grande do Norte,Northeast,-5.866949,-35.23719,198,125764.08200000001
house,Rio Grande do Norte,Northeast,-5.892727,-35.205231,146,73861.444
apartment,Rio Grande do Norte,Northeast,-5.975667,-35.131004,61,79850.214
apartment,Rio Grande do Norte,Northeast,-5.8633267,-35.2151659,117,72538.816
apartment,Rio Grande do Norte,Northeast,-5.8863451,-35.2125777,69,48196.466
apartment,Rio Grande do Norte,Northeast,-5.8241117,-35.2109014,81,81206.19
